zipcodes,city,state,,,
35215, Birmingham , AL    ,,,
85281, Tempe , AZ    ,,,
85705, Tucson , AZ    ,,,
92118, Coronado , CA    ,,,
92672, San Clemente , CA    ,,,
92101, San Diego , CA    ,,,
92037, La Jolla , CA    ,,,
90802, Long Beach , CA    ,,,
80210, Denver , CO    ,,,
80211, Denver , CO    ,,,
20002, Washington , DC    ,,,
20001, Washington , DC    ,,,
20009, Washington , DC    ,,,
33021, Hollywood , FL    ,,,
33025, Hollywood , FL    ,,,
33312, Fort Lauderdale , FL    ,,,
33404, West Palm Beach , FL    ,,,
33410, West Palm Beach , FL    ,,,
32169, New Smyrna Beach , FL    ,,,
33418, West Palm Beach , FL    ,,,
33602, Tampa , FL    ,,,
33178, Miami , FL    ,,,
33179, Miami , FL    ,,,
34243, Sarasota , FL    ,,,
33019, Hollywood , FL    ,,,
33018, Hialeah , FL    ,,,
33301, Fort Lauderdale , FL    ,,,
33480, Palm Beach , FL    ,,,
33033, Homestead , FL    ,,,
33407, West Palm Beach , FL    ,,,
33316, Fort Lauderdale , FL    ,,,
33020, Hollywood , FL    ,,,
30906, Augusta , GA    ,,,
30309, Atlanta , GA    ,,,
52240, Iowa City , IA    ,,,
60614, Chicago , IL    ,,,
60608, Chicago , IL    ,,,
60641, Chicago , IL    ,,,
60617, Chicago , IL    ,,,
60657, Chicago , IL    ,,,
60617, Chicago , IL    ,,,
60616, Chicago , IL    ,,,
60623, Chicago , IL    ,,,
61820, Champaign , IL    ,,,
60618, Chicago , IL    ,,,
60615, Chicago , IL    ,,,
60613, Chicago , IL    ,,,
60624, Chicago , IL    ,,,
60647, Chicago , IL    ,,,
60651, Chicago , IL    ,,,
60619, Chicago , IL    ,,,
47906, West Lafayette , IN    ,,,
70118, New Orleans , LA    ,,,
70115, New Orleans , LA    ,,,
21224, Baltimore , MD    ,,,
21201, Baltimore , MD    ,       ,       ,  
21230, Baltimore , MD ,,,
21229, Baltimore , MD ,,,
49503, Grand Rapids , MI ,,,
63118, Saint Louis , MO ,,,
63118, Saint Louis , MO ,,,
58103, Fargo , ND ,,,
88101, Clovis , NM ,,,
10002, New York , NY ,,,
11211, Brooklyn , NY ,,,
11101, Long Island City , NY ,,,
11217, Brooklyn , NY ,,,
11222, Brooklyn , NY ,,,
10022, New York , NY ,,,
11201, Brooklyn , NY ,,,
11205, Brooklyn , NY ,,,
10065, New York , NY ,,,
10003, New York , NY ,,,
10314, Staten Island , NY ,,,
12866, Saratoga Springs , NY ,,,
10012, New York , NY ,,,
10009, New York , NY ,,,
10028, New York , NY ,,,
10010, New York , NY ,,,
10016, New York , NY ,,,
11206, Brooklyn , NY ,,,
10021, New York , NY ,,,
11238, Brooklyn , NY ,,,
43201, Columbus , OH ,,,
44107, Lakewood , OH ,,,
73505, Lawton , OK ,,,
19146, Philadelphia , PA ,,,
19147, Philadelphia , PA ,,,
19128, Philadelphia , PA ,,,
19148, Philadelphia , PA ,,,
19145, Philadelphia , PA ,,,
29403, Charleston , SC ,,,
37040, Clarksville , TN ,,,
37042, Clarksville , TN ,,,
37042, Clarksville , TN ,,,
76549, Killeen , TX ,,,
78666, San Marcos , TX ,,,
79938, El Paso , TX ,,,
79936, El Paso , TX ,,,
77007, Houston , TX ,,,
76543, Killeen , TX ,,,
78130, New Braunfels , TX ,,,
77479, Sugar Land , TX ,,,
77450, Katy  , TX ,,,
77054, Houston , TX ,,,
77479, Sugar Land , TX ,,,
54751, Menomonie , WI ,,,
54901, Oshkosh , WI ,,,
53202, Milwaukee , WI ,,,
53212, Milwaukee , WI ,,,
26505, Morgantown , WV ,,,